RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
35,71940601,Johnson,549,Germany,Female,47,7,220408.67946509426,4,1,0,103253.9515890043,1
36,23787494,Brown,468,France,Female,41,6,188424.98363545508,4,1,0,112878.76949385014,0
37,69046848,Smith,626,Germany,Male,47,3,193511.19808049628,3,0,1,160266.49040794026,1
38,99538823,Williams,727,Germany,Male,38,5,103706.23576430762,1,0,0,24750.361305167415,1
39,41097182,Smith,706,Spain,Female,48,4,216948.53512719867,1,0,0,39413.10405012655,0
40,99478957,Johnson,610,Germany,Male,80,1,84210.14854431896,1,1,1,191876.3831292234,1
41,59733386,Williams,815,Spain,Male,74,6,177441.25642937882,4,1,0,98889.36165959087,1
42,40043777,Jones,502,Germany,Male,52,1,969.5783004918246,2,0,0,59167.03015518099,1
43,62921930,Williams,687,Germany,Male,81,1,63978.65329802335,1,1,0,127079.83069701544,1
44,78010617,Johnson,852,Germany,Female,85,6,143943.3166228983,1,0,1,190251.4086603943,1
45,79173098,Williams,439,France,Male,22,2,237522.53874044638,1,0,1,52369.174901084865,0
46,33035890,Jones,374,Spain,Male,33,4,232732.31496126438,2,0,0,126811.94070638342,1
47,23781741,Johnson,349,Spain,Male,88,8,70561.75691584518,3,1,0,173118.18415901216,0
48,18832942,Jones,425,France,Female,81,2,193266.92952168983,2,0,1,87360.43899153222,0
49,49654307,Smith,512,France,Male,24,5,98810.83890211309,4,0,1,197436.06270768296,0
50,18513551,Brown,665,Germany,Male,40,3,166350.0281219222,2,1,1,56627.752251071426,0
51,14478662,Jones,692,Spain,Female,22,7,58518.78852802772,2,1,0,172790.25997529688,1
52,82054086,Brown,892,Germany,Male,20,1,25188.669912572183,1,1,1,176043.44862254814,1
53,41369708,Johnson,636,France,Male,83,2,63376.56791984983,1,0,1,30457.924303215157,1
54,82368937,Smith,677,Spain,Male,82,2,179134.88706769698,1,0,1,77089.1273640089,1
55,78845906,Jones,731,France,Female,80,5,85110.75228864429,1,0,0,61919.75282053387,0
56,83576513,Williams,429,Spain,Male,73,8,123919.36870729509,4,0,0,49768.80485243031,1
57,79907555,Johnson,860,France,Female,34,1,43755.244803050984,3,0,1,103647.69867504021,1
58,83201290,Williams,503,Spain,Male,83,9,201143.2058348617,2,1,1,32109.707848389495,1
59,15804287,Smith,506,France,Female,75,9,37321.27836607821,3,0,0,52027.619633162794,1
60,69754079,Jones,484,Spain,Male,30,2,154889.48150632414,2,0,0,44255.96795135641,1
61,29168808,Johnson,655,Germany,Female,57,8,100923.71971830125,1,1,1,104884.35797590039,0
62,79849611,Smith,882,Spain,Female,73,0,135131.24043916858,1,1,1,114248.44401075337,0
63,12898548,Smith,782,Spain,Male,23,2,212681.79607696706,1,1,1,192627.25209439587,0
64,46319258,Brown,758,Germany,Male,80,8,70167.62669902707,3,0,1,57268.69647031501,0
65,35707867,Jones,453,Germany,Female,70,0,41283.455387159076,2,1,1,61483.97610067213,0
66,85573848,Jones,332,Spain,Male,40,2,171298.81463222354,4,1,1,87769.74125202645,0
67,92030258,Jones,348,Germany,Female,45,8,61615.56062747239,3,0,1,21076.952646661164,1
68,82453064,Brown,833,France,Female,24,0,123554.85035226966,1,0,0,191832.1200579137,1
69,80213147,Johnson,873,France,Female,40,0,114202.19105601331,3,1,0,78072.48007152026,1
70,52151688,Williams,650,Spain,Male,19,2,184442.6131063298,3,1,0,85983.0809892858,0
71,45280728,Brown,518,Germany,Female,28,6,221916.23495622046,3,0,0,66358.91948837898,0
72,82351983,Johnson,436,Spain,Female,50,9,178169.8477214213,4,1,1,36104.68516732578,0
73,25867323,Smith,534,Spain,Male,64,1,64314.26601508283,2,1,1,186314.30059346213,0
74,63597536,Brown,756,France,Female,46,3,81082.65206331872,3,1,1,179610.6398915461,1
75,38641636,Johnson,510,France,Male,39,6,87044.20926554027,1,0,0,44705.77320611772,0
76,10505715,Johnson,645,Germany,Male,59,5,182004.47493141406,2,0,1,122296.85262385772,0
77,40254335,Smith,432,France,Female,68,2,50254.68983510401,2,1,1,24098.70129963471,0
78,71267731,Smith,717,Germany,Male,78,4,182276.39409096303,3,1,1,93018.87588516113,1
79,58845301,Brown,813,Spain,Male,67,8,24498.49962987863,3,1,0,172319.72446400908,1
80,45794099,Jones,491,Germany,Female,41,9,104994.89988568683,4,0,0,83712.7475095403,1
81,21287689,Smith,715,Germany,Female,78,5,123660.76374687426,1,0,0,52229.36557666539,1
82,76490000,Brown,587,Germany,Male,54,8,164954.92742243837,4,0,0,42072.433579625416,0
83,76098904,Smith,615,France,Male,83,6,103925.68826653689,4,1,1,44495.86244671545,1
84,82257366,Johnson,622,France,Male,35,5,225922.27123845788,3,0,0,126366.56684909358,1
85,72364578,Williams,857,Spain,Male,78,2,32126.320967042793,2,1,1,92485.82117688423,0
86,10825703,Williams,656,Spain,Male,79,4,77075.8135525176,4,0,0,63441.7931672655,1
87,21465765,Williams,512,Spain,Female,74,3,124523.92118470126,2,1,0,29284.883510561605,1
88,32810275,Jones,574,France,Female,66,1,238160.19196127064,1,0,0,149186.84960710505,1
89,96227612,Brown,371,Germany,Male,81,0,63428.53033274793,1,1,1,159501.07095268776,1
90,41474631,Jones,740,France,Male,88,2,47011.356241429465,3,0,0,115588.48725509309,1
91,68129897,Brown,435,Germany,Male,84,0,16637.502139956796,4,0,0,105933.72534486042,1
92,83388839,Smith,703,Germany,Male,67,7,177443.25946598954,4,1,0,58492.420758336324,0
93,18584786,Brown,618,Spain,Female,56,4,21953.680656096098,4,1,1,23641.593996096737,1
94,51888435,Brown,420,Germany,Male,80,5,149759.57305643643,2,0,0,43427.539863454425,1
95,63611772,Smith,749,Spain,Male,56,1,40164.30283988764,4,1,0,198017.4481258921,0
96,26136380,Johnson,641,Germany,Male,45,2,116383.21174812611,1,1,1,87659.43153463544,0
97,19962261,Johnson,303,Spain,Female,89,4,35191.58478835951,1,1,0,64794.85087664943,0
98,99867185,Brown,786,Spain,Female,82,7,184451.4972046914,2,1,0,103640.36261393283,0
99,15407983,Williams,781,Germany,Female,70,1,147201.00041697847,2,0,0,127737.3988402926,0
100,14017724,Jones,450,France,Female,30,4,172295.35885552914,4,0,1,85059.05365733246,1
101,68655583,Smith,332,Germany,Male,21,2,141028.88980717998,2,0,1,70485.93947008566,1
102,23995664,Jones,323,France,Male,49,1,19802.498087552216,1,1,0,19278.84157220809,1
103,61880292,Jones,631,France,Female,19,1,236007.0856515919,1,0,1,34343.185117894034,0
104,83483424,Brown,605,Spain,Male,71,5,237676.82050400693,2,1,0,93240.26143343975,1
105,73546446,Johnson,478,Germany,Male,71,2,77842.19079329075,3,1,0,98066.82018742304,0
106,49069854,Johnson,672,Spain,Female,31,6,60233.44109001758,1,0,1,66430.79869978417,1
107,97266193,Smith,301,France,Female,78,9,190112.3617100078,3,0,0,178768.9676975576,1
108,54862000,Smith,749,Germany,Female,81,0,157086.7687074933,3,0,1,32728.023872682952,0
109,22817448,Johnson,693,France,Male,27,0,110213.16938189285,3,1,0,115733.67139674182,0
110,64109778,Johnson,630,Germany,Female,61,6,217501.26407142484,2,1,1,32505.47060721698,1
111,45818868,Johnson,586,France,Female,25,8,67157.24918800798,3,1,0,180851.00205260227,0
112,48568242,Jones,410,Germany,Female,52,4,68684.09735587421,1,0,1,72654.57246504127,1
113,78020069,Brown,839,Spain,Female,28,5,123941.4195739475,4,0,1,168348.70265223496,1
114,22276910,Johnson,380,France,Male,51,5,189194.75770491673,4,0,0,146456.11080744021,1
115,66381619,Smith,467,Germany,Female,52,2,119924.95852006784,3,1,1,187043.27852542672,1
116,77073813,Jones,483,Spain,Female,28,7,62521.49083924527,3,0,1,114945.13783943556,0
117,66387616,Smith,519,Germany,Male,56,4,144301.3840962637,4,1,1,131591.20984829532,1
118,96580642,Johnson,617,Spain,Female,71,0,205846.06949706978,3,1,0,29115.679286801755,1
119,71702668,Johnson,841,Spain,Male,27,4,176809.82829621373,2,0,1,61831.28650695921,1
120,98784738,Brown,829,France,Female,42,8,123782.43111082938,2,1,1,148142.9496528315,1
121,52692005,Johnson,500,France,Female,79,1,241351.52542452764,1,1,1,170959.95202928042,0
122,82111404,Brown,423,Spain,Male,49,4,228655.08910492365,2,0,1,40147.06337512651,1
123,63724125,Jones,543,Germany,Male,54,2,168943.33873515457,2,1,1,124424.02107149814,1
124,32871776,Brown,574,Spain,Male,21,0,152320.8471909594,2,0,1,39457.114454940616,1
125,32543896,Brown,300,France,Male,71,4,219373.15635165694,2,1,1,118833.28946757267,1
126,31013816,Johnson,644,France,Female,36,6,7217.569430984894,4,0,0,28764.27328029113,1
127,59893371,Williams,400,France,Female,85,6,27363.285579185824,1,1,0,57619.627630396804,0
128,96618852,Brown,725,Spain,Male,83,6,1373.8264121045675,1,0,1,134098.85444866034,1
129,71119043,Brown,322,France,Female,37,1,79395.86075442345,3,1,0,27456.681102495542,1
130,54014681,Jones,405,Germany,Female,35,9,4007.334074504404,3,0,1,110479.80638955429,1
131,50749186,Williams,821,France,Female,81,9,74854.30350001862,3,0,1,118061.92477596026,1
132,43818658,Smith,854,Spain,Male,50,1,133263.03464606687,1,1,1,84731.38973495807,1
133,47796444,Williams,460,France,Male,89,4,116744.38449782177,2,1,1,157583.16009796923,0
134,80735621,Johnson,441,Germany,Female,36,2,178666.613141227,4,0,0,133103.76673593512,1
135,72211103,Johnson,828,Spain,Male,87,9,118687.75145086524,3,0,1,171941.0630588176,0
136,43105303,Williams,455,Germany,Male,72,6,26388.258139582398,1,0,1,137044.34538805886,0
137,18192273,Brown,490,France,Female,38,3,50028.0739232995,1,0,0,102945.14556803381,1
138,16440264,Brown,664,France,Male,34,7,118153.73528827316,1,1,1,142368.59494721954,1
139,75723048,Johnson,656,Spain,Female,19,4,97465.97904298437,1,1,1,194840.57006215953,1
140,78590702,Jones,645,Spain,Male,86,2,142618.74225281595,2,0,0,40179.18507262087,0
141,55252301,Williams,847,Spain,Male,68,4,188965.88124163623,1,0,0,171755.36488245538,1
142,39255886,Smith,649,Germany,Male,23,2,233567.19964471614,1,1,0,95306.67003668958,1
143,27428791,Smith,386,Spain,Male,75,8,82758.82340337671,4,1,0,101234.8390032249,1
144,83445982,Johnson,738,Germany,Male,73,1,63024.67878963133,3,0,1,178969.7742055119,1
145,68495056,Jones,479,France,Female,81,5,134536.31483300606,1,0,1,38126.78588697333,0
146,16102598,Brown,501,Germany,Female,65,3,146341.77540304116,2,0,1,190639.96491897485,1
147,60857318,Williams,374,Germany,Male,36,8,45523.96971326439,1,0,1,58718.58710047887,1
148,47592740,Smith,576,Spain,Male,28,5,44389.31360947176,1,1,1,144438.54230101607,0
149,72353103,Smith,671,Germany,Male,62,1,190177.02213997443,4,1,1,69157.22643495968,0
150,11103506,Smith,834,Germany,Male,21,9,75067.38184909146,1,0,1,71196.27095286828,0
151,56401460,Jones,506,Spain,Male,65,9,185957.60030238377,4,0,0,16622.942985148165,0
152,58835070,Jones,508,Spain,Female,58,2,90762.55690008111,2,1,1,69133.3773235552,0
153,45180615,Johnson,386,Germany,Female,54,0,224419.41030331835,3,1,1,147901.61456723514,1
154,52277446,Williams,490,Germany,Male,73,0,218000.38858493415,2,0,1,92781.15289176349,0
155,55386671,Brown,372,Spain,Female,83,1,146383.0000050295,3,1,1,185512.3119097843,0
156,41886254,Johnson,417,France,Male,80,8,229888.0810561626,3,0,1,66288.36233429733,0
157,78898835,Williams,767,Spain,Female,69,1,150398.2548777926,1,1,1,182437.34237387442,0
158,84140180,Brown,465,Spain,Male,54,4,92179.60933468961,1,0,0,12740.272663553214,0
159,56255805,Brown,301,Spain,Male,66,0,183493.23178219073,4,1,0,114071.90149790025,1
160,95985124,Brown,391,Spain,Male,66,2,117761.53994628468,1,1,0,174139.72952294085,0
161,87094714,Johnson,541,Spain,Male,72,8,19881.344354886143,4,0,0,107340.14641487022,0
162,40470215,Smith,469,France,Female,47,2,245932.039091642,4,1,1,52281.34898139966,1
163,21689827,Smith,658,Germany,Female,85,4,141187.85687975277,3,1,0,130536.75114355506,1
164,78244505,Johnson,536,Spain,Female,20,9,94438.92002727228,2,1,1,95487.81940693899,0
165,87893143,Johnson,569,Spain,Male,49,6,181996.08062335794,4,0,1,148990.28423107622,0
166,35506439,Jones,462,Spain,Male,30,4,226554.1447300772,4,1,0,116107.86718743591,0
167,81029121,Williams,878,Spain,Female,26,2,119320.43950457663,2,0,0,29028.745132995966,0
168,80561521,Williams,552,Spain,Female,25,2,159037.52574482668,4,0,0,32269.623863374578,1
169,92082880,Brown,401,Spain,Female,74,8,190684.28370760346,2,1,1,168147.77425552276,0
170,48433353,Johnson,809,Spain,Female,52,8,34676.435722005874,1,1,0,124472.83816799476,1
171,75796960,Williams,649,Germany,Female,18,3,100384.26124717886,2,0,0,172410.50450458954,1
172,73242512,Jones,683,France,Male,26,6,99021.38308407548,2,0,1,97406.13800189379,0
173,33506634,Brown,465,France,Male,68,8,56969.18594292777,1,1,1,120099.76204989287,1
174,41391922,Smith,386,Germany,Male,73,8,177536.5282636401,1,1,1,94923.1953172941,1
175,52211841,Williams,761,Spain,Male,23,0,244040.8334283216,2,1,1,50392.64473433325,1
176,70567632,Jones,875,Spain,Female,63,8,89796.32261067827,1,0,1,23350.18572616858,0
177,24903973,Williams,662,France,Female,87,0,138259.96281208145,3,1,1,58537.07684800278,0
178,73674605,Jones,581,France,Male,80,9,79607.1227018122,1,1,0,84443.59083762146,1
179,21982013,Williams,723,Spain,Male,22,0,26487.611721149857,1,1,0,46444.42821432259,0
180,32605357,Johnson,898,Spain,Male,79,8,28860.333163278294,1,1,0,181070.86489967693,0
181,61690428,Jones,874,France,Female,31,2,58254.20496265116,2,0,0,151703.0061002771,1
182,67353425,Williams,742,France,Female,55,0,240116.87938709,3,0,1,98156.64698890144,0
183,46123531,Williams,750,Spain,Female,85,4,214019.09794002172,3,1,1,115875.46047040776,0
184,48108719,Brown,590,Spain,Male,29,0,221713.67114612582,2,1,1,89802.4948127984,1
185,44954367,Johnson,612,Spain,Male,63,9,71927.77165569145,4,0,0,13228.297878975924,0
186,78982065,Johnson,851,Spain,Male,57,4,116224.32348735379,3,0,0,73025.40891713035,1
187,14244314,Jones,697,France,Male,35,3,205205.41771858287,1,1,0,51976.703831493774,0
188,45700429,Brown,531,Spain,Female,66,2,14705.416213779909,1,0,0,44368.44247888936,1
189,46825774,Johnson,495,Spain,Female,89,9,138315.71919326278,2,0,1,72425.66199890766,0
190,57723290,Jones,366,Germany,Male,54,9,161545.4322945822,1,0,1,73982.46434140869,1
191,73187096,Williams,790,Germany,Male,36,7,228491.85787073415,1,0,0,162651.80925824013,0
192,34714416,Smith,676,Spain,Female,77,8,184228.42046338768,3,1,0,57854.526380662144,0
193,76027356,Williams,679,France,Female,78,1,17195.259917466232,4,0,1,167217.96264278493,0
194,79882661,Brown,648,Germany,Male,38,3,125734.18653688539,3,1,1,116597.63618896743,0
195,50598310,Johnson,662,Germany,Male,85,1,91437.1361787489,1,1,1,192488.5439270693,1
196,20915398,Johnson,385,Spain,Female,44,5,134977.9629485171,1,1,1,184635.1156620365,1
197,33543126,Johnson,305,Germany,Female,28,2,137883.49654053192,1,0,0,122518.78599602563,0
198,10889389,Williams,345,Spain,Male,82,4,78779.51840446418,4,1,0,13055.111292423002,1
199,98961186,Johnson,373,Spain,Male,21,7,97683.0501935468,1,1,0,22627.50549254103,1
200,92979223,Williams,533,Germany,Female,40,1,2653.515935708367,2,1,0,57956.388289220944,1
201,22405057,Brown,464,France,Male,63,2,228374.27382989574,1,0,0,158775.99745625549,1
202,11137303,Smith,355,Spain,Male,20,2,221046.6751596901,2,0,0,142294.4459045021,0
203,80382633,Brown,781,Spain,Female,56,8,76893.83425554792,1,0,0,165270.77293894472,0
204,86489474,Williams,373,Spain,Male,68,2,22772.52999281665,3,0,1,113292.72838062793,0
205,83920699,Smith,446,Germany,Female,61,6,50262.61676842606,3,1,1,73612.90140256935,1
206,75133170,Brown,309,Germany,Female,27,9,48222.995791712434,3,0,0,126687.14450513327,0
207,44818684,Jones,313,France,Female,72,3,246572.27036527856,2,1,0,93665.28717618734,0
208,28598893,Johnson,355,Spain,Male,66,0,64054.766357345725,3,0,1,103157.66532992774,1
209,99012795,Williams,460,France,Male,86,2,192380.99221681786,2,1,1,21884.57843137229,1
210,14206830,Jones,636,Germany,Male,52,7,18355.887434216624,2,0,1,93271.11952078897,1
211,16397717,Smith,606,Spain,Female,55,3,56804.55836302825,1,1,1,95456.79854603905,1
212,89751047,Brown,790,Spain,Male,75,0,90947.33206672293,2,0,1,33398.5505131151,0
213,21027134,Smith,456,France,Male,35,3,227621.03305347677,1,1,1,23672.977589889255,0
214,75281516,Williams,719,Spain,Female,42,8,223627.29949739235,4,0,1,60753.787933149484,1
215,52416499,Jones,641,France,Male,45,5,189538.41981075582,1,1,0,198989.31760300216,0
216,27907985,Jones,366,Germany,Male,81,0,212683.68639844193,1,0,1,177134.25001667603,0
217,99355923,Williams,538,Spain,Male,67,2,92723.92660877452,2,0,0,153474.5821400971,0
218,80110494,Johnson,604,Germany,Female,87,2,126863.10387000255,4,1,0,158322.40095551757,0
219,40286239,Smith,875,Spain,Female,38,9,160233.448905917,4,0,0,73965.75116795034,0
220,26478302,Brown,632,Germany,Male,47,3,244296.99493260926,2,0,0,91668.08778858729,0
221,71792140,Johnson,739,Germany,Male,86,1,138550.79763394484,1,0,1,91958.73960946446,0
222,58551748,Jones,677,Germany,Female,42,5,77421.65014116865,3,1,0,172279.84883801665,0
223,32180991,Williams,886,Spain,Female,49,4,213819.49609530784,4,0,0,141916.58908675576,0
224,56915705,Williams,643,France,Male,70,1,83415.04296739929,1,1,1,78334.39680185971,1
225,80014964,Johnson,381,Spain,Male,66,7,200453.94084288983,4,0,1,80371.4924177764,0
226,91383832,Jones,528,Germany,Male,81,8,206838.28505128835,2,0,1,24692.1190464077,0
227,51939970,Williams,411,Germany,Male,77,3,86811.43980325232,3,0,0,155382.97079454872,1
228,80584956,Jones,403,Germany,Male,81,9,68795.9063940218,2,1,1,140602.31470316008,1
229,38932422,Smith,832,Spain,Female,62,1,53453.41673363005,1,0,1,98588.19119693867,1
230,65801736,Johnson,545,France,Male,61,8,28152.752941727143,2,1,1,139654.29372957913,1
231,84387383,Smith,384,Spain,Female,40,3,113641.1654912376,1,1,1,14894.436120139062,1
232,11905162,Johnson,400,France,Female,69,3,31709.801985771195,4,0,1,179250.0406175863,1
233,83755786,Brown,688,France,Male,65,2,73577.75016768814,1,1,1,22191.088386681302,1
234,60296761,Johnson,507,France,Male,25,5,80109.56493048038,2,1,0,72417.4006158171,1
235,99142574,Johnson,815,Spain,Female,67,5,221982.62845923056,1,0,1,76870.85305250969,0
236,83515652,Jones,667,France,Male,79,4,153280.443678416,2,1,1,53678.771679921854,0
237,94589664,Williams,737,Spain,Male,76,6,125086.4607053849,2,0,1,20920.140368929264,1
238,93561232,Brown,527,Spain,Female,25,8,90697.56929068922,4,0,0,80169.0023535707,1
239,77022958,Johnson,625,Spain,Male,67,1,179099.41995043732,3,0,1,29836.627684467923,1
240,46254980,Smith,782,Germany,Female,75,1,219507.4355204774,4,0,0,107983.53951292847,1
241,40282188,Johnson,465,Germany,Female,79,8,16740.867371525193,3,1,0,39453.88624068622,1
242,58690866,Brown,579,Germany,Female,81,2,214399.56458344287,4,0,0,179292.65018012814,0
243,20314264,Johnson,425,France,Female,59,1,169123.18024325682,2,1,1,183403.29820441958,0
244,15140914,Johnson,533,France,Male,77,3,12603.014492851367,3,0,1,146763.44329254248,1
245,37275905,Smith,555,Germany,Female,37,0,185474.85223808474,1,0,0,107052.11801020493,1
246,62661116,Jones,701,Germany,Female,82,3,209370.75060111904,2,0,0,111423.4138958177,1
247,42584949,Brown,393,France,Female,47,9,209494.10812981412,3,1,1,132818.99009777082,0
248,63510909,Smith,776,Spain,Female,71,5,22687.77768093716,3,1,0,50689.793412961306,0
249,43782667,Johnson,425,Spain,Female,84,0,88286.21813644019,2,0,0,145371.43636286634,0
250,27280506,Williams,818,Spain,Female,38,6,42362.70417855301,3,0,0,93894.60186889875,1
251,92798559,Williams,489,France,Male,86,7,121647.1592199841,3,1,0,188109.31193404432,1
252,51191213,Johnson,362,Spain,Male,18,1,233698.93091148025,3,1,1,131978.0875704959,0
253,82103435,Johnson,718,France,Male,39,2,232667.31241065575,1,0,0,110531.99009109891,1
254,30486728,Smith,685,Germany,Female,86,3,108204.08976068089,2,0,1,68040.75810953876,0
255,62517196,Smith,725,Spain,Female,64,1,78819.65499424501,3,0,1,109629.2354522954,0
256,18540857,Smith,491,Spain,Female,88,8,219030.87008429275,4,0,0,37203.98721940212,0
257,20937946,Johnson,721,Germany,Female,72,1,58376.189611183545,4,1,1,132471.5382570703,1
258,12543770,Johnson,722,Germany,Female,35,7,204856.29435125974,3,0,1,26393.667531688363,0
259,70909297,Brown,705,Spain,Female,38,5,159401.4019871237,3,1,0,156351.13722186701,1
260,92698724,Brown,640,Spain,Female,45,1,91699.63783431557,2,0,0,140729.8761717307,1
261,38656695,Jones,392,Spain,Female,83,0,152878.51171837197,1,1,1,67423.96156862151,1
262,36090290,Smith,412,France,Male,68,5,17012.818074200688,1,1,1,78356.60095781668,0
263,83522913,Jones,676,Germany,Male,27,3,104011.87903221087,1,1,0,159361.77917763183,1
264,53412999,Jones,666,Germany,Male,85,2,12832.953678537178,4,1,0,81037.91496482099,1
265,99341223,Smith,807,Spain,Male,78,6,110705.48496581079,1,0,0,101704.79043917044,0
266,74339738,Johnson,870,France,Female,31,4,106991.57470487284,3,1,0,66230.52913048666,1
267,61578430,Jones,416,Germany,Male,21,3,228266.82768338782,2,0,0,174190.9489509796,0
268,30482638,Jones,612,France,Male,27,3,108883.69398216525,4,0,0,162757.26650030562,1
269,17763038,Jones,379,Spain,Male,19,4,240562.64295840953,1,1,0,131314.82696946536,1
270,32323436,Brown,332,Spain,Female,56,4,194468.25990567516,3,1,0,84109.23328843882,0
271,42512344,Smith,326,Germany,Male,87,8,163832.5157148139,4,0,0,86919.85399232333,0
272,37328430,Brown,604,France,Male,23,9,167143.06422172597,3,1,1,119248.47784132276,1
273,76061817,Smith,612,France,Female,89,4,75986.1090279955,4,1,1,20431.243050088622,1
274,86282778,Williams,495,Spain,Female,43,1,161831.32098412316,2,1,1,95710.69626487962,0
275,80217870,Williams,413,Spain,Female,71,9,160084.4390532669,2,0,1,72638.08709159889,0
276,34079749,Johnson,445,Germany,Female,50,7,114049.02732824865,3,1,1,13433.491768598764,0
277,25633566,Smith,734,Germany,Female,30,0,248267.15675917003,4,1,0,100579.08247518587,0
278,19852988,Williams,450,Spain,Female,47,6,21327.56547954867,2,1,1,107890.95224818468,0
279,53761160,Williams,867,Germany,Male,35,2,55435.56291672455,3,0,0,114567.82853772592,1
280,77277283,Smith,314,Germany,Female,23,2,15647.967738843137,4,0,0,108118.90104504589,1
281,37595639,Williams,861,Germany,Female,60,2,14857.132206263363,2,0,0,146362.92742170903,0
282,52292306,Smith,550,France,Female,65,3,160953.91450037088,4,1,1,168523.75883369936,0
283,93907109,Williams,532,Germany,Female,72,7,204094.73595193453,3,1,1,62442.71257281986,1
284,40277630,Johnson,456,Germany,Male,51,4,242176.72886056406,3,1,1,161300.8852938904,0
285,25765201,Jones,612,Germany,Male,33,9,130156.52786114023,2,0,0,15536.676057485121,1
286,22962356,Brown,335,France,Male,23,4,211939.16817627687,3,0,0,47609.6902120981,1
287,56771380,Williams,558,France,Male,39,3,249551.4103067304,1,0,0,85381.77763337918,1
288,38137237,Brown,602,France,Male,79,4,14866.94159518881,4,1,0,190362.46863824676,0
289,76704301,Williams,608,Spain,Male,64,9,159468.7668388168,2,1,1,11300.951824524662,1
290,32918106,Williams,767,Spain,Female,40,9,127666.23446434444,1,1,0,132795.21698849695,0
291,81343875,Johnson,436,Germany,Male,36,3,218366.13284283987,3,0,0,48340.54826551169,1
292,56236196,Johnson,821,Germany,Male,87,2,162477.00518359078,1,0,0,62266.37255131723,1
293,76332795,Brown,650,Spain,Male,29,7,130901.08234460543,4,0,1,97606.91235224303,1
294,36113351,Johnson,854,France,Female,72,7,98613.36599915197,1,0,0,113732.31673675118,1
295,32242107,Smith,891,France,Female,87,9,50733.02886857842,2,0,0,124832.89215802503,0
296,52970718,Jones,845,Spain,Female,24,0,161320.16906319998,4,0,0,47394.52113598004,1
